Working Set Size, , Average
3,,
3,,
3,,
2,,
1,,
1,,
2,,
2,,
2,,
2,,
3,,
2,,
2,,
3,,
3,,
2,,
1,,
2,,
2,,
1,,
1,,
1,,
3,,
2,,
2,,
3,,
2,,
2,,
1,,
4,,
2,,
2,,
2,,
2,,
1,,
2,,
2,,
2,,
1,,
2,,
2,,
1,,
4,,
3,,
1,,
2,,
2,,
2,,
1,,
2,,
2,,
1,,
1,,
2,,
1,,
1,,
1,,
1,,
1,,
1,,
3,,
2,,
2,,
3,,
3,,
3,,
3,,
4,,
4,,
4,,
3,,
4,,
4,,
4,,
4,,
4,,
4,,
3,,
4,,
4,,
4,,
3,,
4,,
4,,
4,,
3,,
4,,
5,,
5,,
6,,
2,,
1,,
2,,
3,,
4,,
5,,
5,,
3,,
3,,
2,,
1,,
2,,
1,,
3,,
2,,
2,,
2,,
2,,
2,,
2,,
2,,
1,,
1,,
1,,
3,,
4,,
6,,
2,,
2,,
2,,
2,,
3,,
2,,
2,,
1,,
2,,
2,,
2,,
3,,
4,,
5,,
